County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,GMC Sierra EV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Xos MDXT,Xos SV,Grand Total
Jim Wells,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,3.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,3.0,,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,12.0,4.0,2.0,6.0,,,1.0,,,,,,4.0,,,,,,,,,,,,,64.0
Johnson,,1.0,1.0,,,1.0,2.0,,1.0,,3.0,,,5.0,4.0,,1.0,2.0,,,1.0,10.0,1.0,,2.0,2.0,,,,,,2.0,8.0,6.0,7.0,13.0,1.0,,28.0,19.0,,,,,4.0,,1.0,10.0,2.0,9.0,21.0,,14.0,55.0,,,,1.0,2.0,5.0,,,,,,,,4.0,12.0,7.0,,,,,,,,,,2.0,4.0,32.0,,9.0,3.0,3.0,5.0,,,1.0,1.0,,1.0,1.0,,4.0,1.0,,,5.0,,,1.0,1.0,5.0,,3.0,2.0,,,2.0,1.0,,,,,1.0,1.0,5.0,1.0,,8.0,17.0,,,,2.0,,2.0,3.0,,6.0,34.0,7.0,7.0,1.0,,1.0,,,,2.0,16.0,271.0,50.0,38.0,180.0,,,1.0,1.0,14.0,,4.0,,18.0,1.0,1.0,,1.0,,,1.0,3.0,3.0,,,,1056.0
Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,18.0
Karnes,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,24.0
Kaufman,,,1.0,,1.0,2.0,3.0,,7.0,,4.0,2.0,1.0,8.0,15.0,1.0,,5.0,1.0,4.0,3.0,6.0,,,4.0,2.0,,,,,1.0,2.0,16.0,9.0,18.0,22.0,,,22.0,14.0,,1.0,,,1.0,,1.0,7.0,3.0,4.0,21.0,,17.0,64.0,,,,,1.0,1.0,,,2.0,1.0,,,,3.0,5.0,12.0,,,2.0,,1.0,,,,,3.0,13.0,47.0,1.0,14.0,6.0,5.0,1.0,,2.0,2.0,2.0,1.0,1.0,,,4.0,1.0,,1.0,5.0,,,1.0,4.0,4.0,3.0,3.0,4.0,,,,,,,,,,,1.0,,,11.0,14.0,,,,5.0,,1.0,4.0,,,85.0,2.0,4.0,,,,,,,6.0,10.0,304.0,55.0,21.0,296.0,,,3.0,2.0,14.0,,3.0,,19.0,,,2.0,1.0,10.0,,1.0,,7.0,,,,1330.0
Kendall,1.0,,,,,4.0,3.0,,8.0,2.0,6.0,5.0,1.0,3.0,10.0,3.0,1.0,15.0,,2.0,5.0,8.0,3.0,1.0,1.0,4.0,,,,,,,19.0,5.0,5.0,13.0,,,9.0,6.0,,,,,,,,3.0,1.0,4.0,18.0,,5.0,22.0,,,,,7.0,1.0,,,1.0,1.0,,,,3.0,11.0,4.0,,,2.0,,,1.0,,,,,5.0,19.0,,5.0,2.0,2.0,,,3.0,,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,4.0,2.0,4.0,5.0,1.0,2.0,3.0,,,,,,,2.0,1.0,,,3.0,7.0,,,,3.0,,1.0,,,5.0,,13.0,8.0,,,,,,1.0,2.0,15.0,150.0,59.0,46.0,190.0,1.0,,4.0,2.0,8.0,,8.0,,11.0,1.0,1.0,,1.0,,,7.0,2.0,4.0,,,,848.0
Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
Kerr,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,1.0,3.0,,,2.0,,,,1.0,,,,,,,,5.0,2.0,3.0,7.0,,,12.0,6.0,,,,,,1.0,,9.0,,2.0,4.0,1.0,1.0,13.0,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,1.0,5.0,,,,,,,2.0,3.0,,1.0,,,,4.0,2.0,,,1.0,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,1.0,5.0,,,,,,2.0,,,2.0,,,1.0,,,1.0,,,,,5.0,40.0,12.0,6.0,28.0,,,,1.0,11.0,,1.0,,1.0,,,2.0,1.0,,,,1.0,1.0,,,,230.0
Kimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,5.0
King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0
Kinney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Kleberg,,,,,,,,,,,,1.0,,,1.0,,,2.0,,,,1.0,,,,,,,,,,1.0,2.0,,1.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,2.0,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,7.0,3.0,1.0,15.0,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,64.0
Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Lamar,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,3.0,2.0,,,,,,,,1.0,,1.0,2.0,2.0,4.0,9.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,4.0,,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,14.0,13.0,2.0,15.0,,,1.0,,2.0,,1.0,,,,,,,,,,,2.0,,,,108.0
Lamb,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,18.0
Lampasas,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,,2.0,2.0,,,,,,,,1.0,,,2.0,,5.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,6.0,,2.0,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,2.0,16.0,1.0,2.0,16.0,,,,,2.0,,1.0,,1.0,,,,,,,,1.0,,,,,83.0
Lasalle,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0
Lavaca,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,8.0,1.0,,2.0,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,31.0
Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,2.0,1.0,,,,,,,,1.0,,2.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,,9.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,45.0
Leon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,20.0
Liberty,,,,,,,,,,,2.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,1.0,1.0,4.0,6.0,,,4.0,4.0,,,,,,,,,1.0,1.0,3.0,,6.0,6.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,3.0,10.0,,2.0,4.0,4.0,2.0,,,,1.0,,,,,,,,,1.0,,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,36.0,8.0,3.0,26.0,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,1.0,,,,169.0
Limestone,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,2.0,1.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,3.0,1.0,3.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,35.0
Lipscomb,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0
Live Oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,14.0
Llano,,,,,,,,,1.0,,1.0,,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,5.0,,2.0,2.0,,,2.0,3.0,,,,,,,,3.0,,1.0,5.0,,1.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,6.0,,4.0,2.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,4.0,,4.0,2.0,,2.0,,4.0,,,,,,,,1.0,7.0,18.0,26.0,9.0,25.0,,,,,3.0,,2.0,,,,,,,,,2.0,1.0,1.0,,,,168.0
Loving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Lubbock,,1.0,,,,1.0,5.0,,8.0,,6.0,6.0,1.0,6.0,9.0,,9.0,7.0,1.0,4.0,3.0,7.0,3.0,1.0,3.0,4.0,,,,,,,6.0,4.0,8.0,15.0,,,32.0,20.0,,1.0,5.0,,1.0,,,5.0,2.0,3.0,16.0,,20.0,29.0,,,,2.0,4.0,1.0,,,,,,,,10.0,4.0,2.0,,,,1.0,1.0,2.0,,,1.0,,18.0,43.0,,12.0,3.0,7.0,4.0,,1.0,,1.0,,4.0,1.0,,9.0,1.0,,,18.0,,,,1.0,4.0,1.0,4.0,4.0,,1.0,4.0,,,,,,3.0,3.0,2.0,,,24.0,25.0,1.0,,,3.0,,6.0,2.0,,2.0,,6.0,6.0,,,2.0,,,,,18.0,227.0,57.0,42.0,154.0,,,5.0,2.0,20.0,,15.0,,6.0,1.0,1.0,2.0,,,,2.0,18.0,30.0,,,,1106.0
Lynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,1.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,16.0
Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,4.0,1.0,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,21.0
Marion,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,20.0
Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0
Mason,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,14.0
Matagorda,,,,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,,2.0,1.0,,,,,1.0,,,,,,,,2.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,12.0,1.0,,6.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,52.0
Maverick,,,,,,,,,,,,1.0,,,2.0,,,2.0,,,,1.0,,,2.0,1.0,,,,,,,,,2.0,,,,5.0,4.0,,,,,,,,,,,3.0,,3.0,3.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,23.0,6.0,1.0,16.0,,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,98.0
McCulloch,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,10.0
McLennan,,2.0,,,,,,,,,1.0,3.0,,7.0,5.0,,,6.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,1.0,,,,,,,9.0,2.0,14.0,35.0,,3.0,27.0,27.0,,,,,1.0,,,6.0,1.0,12.0,27.0,2.0,25.0,45.0,,,,1.0,5.0,3.0,,,1.0,,,,,5.0,6.0,3.0,,2.0,,,2.0,,,,,1.0,15.0,32.0,,24.0,5.0,6.0,8.0,,3.0,2.0,2.0,,5.0,1.0,1.0,5.0,2.0,,2.0,6.0,,,,,2.0,1.0,3.0,1.0,,,,,,,,,2.0,,2.0,4.0,,13.0,28.0,,,,3.0,,2.0,2.0,,1.0,,13.0,6.0,,,,,,,5.0,12.0,241.0,59.0,31.0,212.0,,,2.0,3.0,20.0,,12.0,,15.0,2.0,,,,,,1.0,6.0,6.0,,,,1136.0
Medina,1.0,,,,,1.0,3.0,,,,1.0,1.0,,2.0,2.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,3.0,5.0,7.0,9.0,,,14.0,7.0,,,,,1.0,,,1.0,,,6.0,,11.0,13.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,4.0,8.0,,2.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,56.0,19.0,5.0,48.0,,,2.0,,4.0,,3.0,,,,,,,,,,,1.0,,,,267.0
Menard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Midland,,,,,,,2.0,,,,,,,4.0,7.0,2.0,2.0,16.0,7.0,1.0,,5.0,5.0,,1.0,2.0,,,,,,,5.0,1.0,4.0,5.0,,1.0,7.0,11.0,,1.0,,,,,,1.0,2.0,1.0,26.0,,5.0,17.0,,,,,3.0,5.0,,,,,,,,1.0,1.0,3.0,,,1.0,,2.0,,,,,,12.0,25.0,2.0,2.0,,,1.0,,2.0,,2.0,,3.0,,1.0,8.0,1.0,,5.0,3.0,,,,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,,2.0,,,2.0,1.0,,,,,,,1.0,,2.0,,2.0,4.0,,,1.0,,,,1.0,9.0,90.0,22.0,17.0,57.0,,,3.0,2.0,7.0,,7.0,,2.0,,,1.0,,,,1.0,4.0,6.0,,,,475.0
Milam,,,,,,,,,,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,1.0,,,1.0,3.0,,,3.0,4.0,,,,,,,,1.0,,,1.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,11.0,1.0,1.0,6.0,,,,,2.0,,1.0,,3.0,,,,,,,,,,,,,62.0
Mills,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,,1.0,1.0,,,,,,,,,,,,,1.0,,8.0,,1.0,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,8.0,,3.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,,,1.0,,,,,,,,1.0,3.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,51.0
Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0
Montague,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,1.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,6.0,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,42.0
Montgomery,21.0,2.0,2.0,,4.0,19.0,26.0,,14.0,2.0,32.0,14.0,14.0,58.0,66.0,3.0,12.0,66.0,10.0,15.0,29.0,71.0,11.0,5.0,14.0,35.0,,,1.0,,,6.0,75.0,14.0,46.0,68.0,14.0,2.0,107.0,133.0,,1.0,,1.0,8.0,2.0,7.0,24.0,7.0,17.0,96.0,2.0,66.0,217.0,,,,5.0,16.0,25.0,,,7.0,2.0,,,,17.0,58.0,30.0,,4.0,10.0,5.0,5.0,2.0,,,1.0,10.0,242.0,355.0,1.0,82.0,21.0,34.0,14.0,4.0,8.0,,10.0,7.0,8.0,12.0,,21.0,6.0,,23.0,26.0,,,3.0,1.0,35.0,9.0,44.0,64.0,4.0,7.0,22.0,2.0,1.0,,2.0,,10.0,17.0,18.0,,,23.0,86.0,,,,21.0,1.0,32.0,19.0,1.0,54.0,,70.0,64.0,3.0,,3.0,,,3.0,10.0,87.0,1671.0,451.0,287.0,1771.0,1.0,,17.0,8.0,75.0,1.0,44.0,,111.0,3.0,16.0,16.0,2.0,,,21.0,23.0,47.0,,,,7811.0
Moore,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,5.0,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,21.0
