County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Kendall,,,1.0,,,3.0,4.0,,4.0,1.0,8.0,6.0,3.0,,5.0,11.0,3.0,2.0,13.0,,1.0,6.0,4.0,1.0,1.0,1.0,5.0,,,,,,,7.0,1.0,7.0,10.0,,,12.0,7.0,,,,,,,,3.0,,4.0,16.0,,6.0,17.0,,,,2.0,4.0,,,1.0,1.0,,,,2.0,5.0,2.0,,,,,,,,,,,7.0,14.0,,4.0,,1.0,,,1.0,,,1.0,2.0,1.0,,,1.0,,2.0,1.0,,,,,2.0,1.0,1.0,5.0,,2.0,1.0,,,,,,,2.0,1.0,,,3.0,10.0,,,,,2.0,,4.0,,,4.0,,9.0,7.0,,,,,,1.0,,1.0,146.0,56.0,43.0,176.0,1.0,,2.0,2.0,8.0,,4.0,10.0,1.0,1.0,1.0,1.0,,,7.0,2.0,5.0,,,,747.0
Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Kerr,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,1.0,3.0,,,2.0,,,,1.0,,,,,,,,2.0,,2.0,6.0,,,13.0,4.0,,,,,,1.0,,9.0,,2.0,5.0,1.0,2.0,11.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,3.0,6.0,,,,,,,2.0,3.0,,1.0,,,,5.0,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,1.0,1.0,,,,6.0,,,,,,,2.0,,,2.0,,,2.0,,,1.0,,,,,,29.0,12.0,4.0,24.0,,,,1.0,11.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,199.0
Kimble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,4.0
King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0
Kinney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Kleberg,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,2.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,6.0,3.0,3.0,11.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,52.0
Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Lamar,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,4.0,2.0,,,,,,,,1.0,,1.0,3.0,2.0,4.0,4.0,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,2.0,,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,10.0,11.0,2.0,11.0,,,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,,89.0
Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,14.0
Lampasas,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,,,,,,,,1.0,,,3.0,,5.0,1.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,16.0,2.0,1.0,9.0,,,,,2.0,,1.0,2.0,,,,,,,,1.0,,,,,72.0
Lasalle,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Lavaca,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,4.0,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,5.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,27.0
Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,2.0,,,,,,,,,1.0,,2.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,8.0,,,,,,,1.0,,,,,,,,,,,,,,37.0
Leon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,23.0
Liberty,,,,,,,,,,,2.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,1.0,5.0,,,5.0,3.0,,,,,1.0,,,,,1.0,,,7.0,5.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,9.0,,3.0,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,34.0,7.0,4.0,7.0,,,,3.0,3.0,,1.0,,,,,,,,,,1.0,,,,121.0
Limestone,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,3.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,25.0
Lipscomb,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0
Live Oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,10.0
Llano,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,2.0,,,1.0,2.0,,,1.0,,,,,,,,4.0,,1.0,4.0,,,1.0,2.0,,,,,,,,2.0,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,2.0,,,,,2.0,,1.0,1.0,,1.0,,4.0,,,,,,,,1.0,,17.0,26.0,9.0,16.0,,,,,3.0,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,132.0
Loving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Lubbock,,1.0,1.0,,,3.0,3.0,,4.0,,8.0,5.0,1.0,,5.0,9.0,,7.0,6.0,,4.0,5.0,6.0,,,3.0,1.0,,,,,,,2.0,1.0,10.0,15.0,,,33.0,20.0,,,4.0,,2.0,,,6.0,2.0,2.0,15.0,,20.0,21.0,,,,1.0,2.0,,,,,,,,8.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,17.0,38.0,,7.0,,5.0,5.0,,1.0,,,,4.0,2.0,,7.0,,,,3.0,1.0,,,1.0,3.0,,3.0,3.0,,1.0,1.0,,,,,,3.0,2.0,2.0,,,25.0,24.0,,1.0,,,2.0,,5.0,2.0,,2.0,,4.0,4.0,,,2.0,,,,1.0,1.0,204.0,52.0,37.0,125.0,,,2.0,1.0,18.0,,8.0,6.0,1.0,1.0,1.0,,,,4.0,12.0,22.0,,,,918.0
Lynn,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,14.0
Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,18.0
Marion,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,20.0
Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0
Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,9.0
Matagorda,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,2.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,9.0,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,38.0
Maverick,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,2.0,,,,,,,,,,3.0,,,,7.0,3.0,,,,,,,,,,,1.0,,3.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,5.0,1.0,11.0,,,,,3.0,,,,,,,,,,,,,,,,74.0
McCulloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,9.0
McLennan,,2.0,,,,,,,,,1.0,2.0,,,3.0,6.0,,,6.0,,1.0,3.0,3.0,,,8.0,,,,,,,1.0,4.0,,16.0,40.0,,5.0,23.0,21.0,,,,,1.0,,,6.0,,9.0,22.0,1.0,28.0,32.0,,,,1.0,3.0,,,1.0,,,,,5.0,6.0,3.0,,1.0,,,2.0,,,,,1.0,17.0,36.0,1.0,18.0,2.0,4.0,6.0,,1.0,2.0,2.0,,5.0,1.0,,2.0,1.0,,2.0,5.0,,,,,1.0,,2.0,,,,,,,,,,1.0,,3.0,4.0,,8.0,30.0,,,,,,,2.0,2.0,,1.0,,11.0,7.0,,,,,,,3.0,,211.0,62.0,33.0,160.0,,,,3.0,19.0,,10.0,19.0,3.0,,,,,,2.0,3.0,6.0,,,,978.0
Medina,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,12.0,12.0,,,15.0,8.0,,,,,1.0,,,1.0,,1.0,3.0,,11.0,7.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,6.0,10.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,45.0,17.0,5.0,37.0,,,1.0,,5.0,,3.0,1.0,,,,,,,1.0,,1.0,,,,229.0
Menard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Midland,,,,,,,1.0,,,,,,,,4.0,7.0,1.0,3.0,17.0,4.0,1.0,,3.0,,,1.0,4.0,,,,,,,2.0,,5.0,7.0,,1.0,8.0,6.0,,,,,1.0,,,2.0,1.0,2.0,23.0,,3.0,11.0,,,,,2.0,2.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,7.0,21.0,2.0,3.0,,,,,1.0,,1.0,,1.0,,,7.0,5.0,,4.0,1.0,,,,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,1.0,2.0,,,1.0,,,,,1.0,77.0,21.0,16.0,53.0,,,,4.0,7.0,,5.0,3.0,,,1.0,,,,1.0,1.0,8.0,,,,393.0
Milam,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,4.0,,,,,,,,1.0,,,2.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,3.0,,,,,3.0,,1.0,2.0,,1.0,,,,,,,,,,,47.0
Mills,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,5.0,,1.0,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,1.0,,1.0,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,39.0
Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0
Montague,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,5.0,,,,,,,,,,,,,,2.0,,1.0,,,,,34.0
Montgomery,8.0,2.0,2.0,,2.0,22.0,22.0,,10.0,,32.0,15.0,12.0,,56.0,76.0,4.0,12.0,128.0,4.0,17.0,25.0,50.0,2.0,2.0,13.0,31.0,,,,,,5.0,36.0,,41.0,66.0,3.0,3.0,112.0,104.0,,1.0,,2.0,8.0,2.0,,23.0,7.0,14.0,75.0,2.0,62.0,141.0,,,,6.0,9.0,5.0,,5.0,1.0,,,,18.0,39.0,15.0,,5.0,4.0,5.0,6.0,,,,,8.0,147.0,260.0,1.0,55.0,2.0,26.0,14.0,4.0,5.0,,7.0,5.0,6.0,11.0,,23.0,4.0,,19.0,13.0,,,1.0,,29.0,12.0,34.0,59.0,2.0,6.0,11.0,2.0,2.0,,,,9.0,15.0,17.0,,,13.0,81.0,,,,,8.0,1.0,30.0,18.0,1.0,40.0,,48.0,50.0,2.0,,3.0,,,3.0,5.0,2.0,1540.0,424.0,262.0,1354.0,1.0,,5.0,8.0,68.0,1.0,38.0,84.0,3.0,10.0,12.0,2.0,,,20.0,24.0,39.0,,,,6381.0
Moore,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,21.0
Morris,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,3.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,23.0
Motley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Nacogdoches,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,2.0,3.0,,,8.0,1.0,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,2.0,7.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,4.0,,,,,,,,,23.0,7.0,2.0,24.0,,,,,4.0,,2.0,,,,,,,,,1.0,1.0,,,,112.0
Navarro,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,2.0,,2.0,2.0,,,1.0,2.0,,,,,,,,3.0,,1.0,4.0,,3.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,26.0,6.0,3.0,14.0,,,,,3.0,,2.0,,,,,,,,1.0,,,,,,94.0
Newton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0
Nolan,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,12.0
Nueces,2.0,1.0,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,,10.0,5.0,1.0,3.0,13.0,1.0,3.0,9.0,6.0,1.0,,3.0,7.0,,,,,1.0,2.0,7.0,1.0,10.0,21.0,,4.0,25.0,27.0,,1.0,,,5.0,,1.0,10.0,2.0,5.0,11.0,13.0,15.0,25.0,,,,3.0,3.0,1.0,,,,,,,13.0,11.0,10.0,1.0,1.0,1.0,,,,,,,1.0,21.0,45.0,,8.0,,2.0,3.0,1.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,,5.0,2.0,,,,1.0,2.0,,3.0,8.0,,3.0,3.0,,,,,,1.0,,10.0,,,2.0,15.0,,,,,1.0,,6.0,1.0,,1.0,,7.0,8.0,,,,,,,1.0,,284.0,54.0,38.0,185.0,,,2.0,1.0,24.0,,16.0,21.0,1.0,,,,,,,3.0,5.0,,,,1107.0
Ochiltree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0
Oldham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
