County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart EQ ForTwo,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,VinFast VF 8,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Xos SV,Grand Total
Galveston,2.0,,,,1.0,5.0,8.0,,7.0,,14.0,4.0,2.0,16.0,13.0,,1.0,28.0,,9.0,8.0,23.0,1.0,,5.0,14.0,,,,,2.0,2.0,35.0,,21.0,49.0,,1.0,53.0,23.0,,,,1.0,2.0,,,15.0,8.0,7.0,48.0,,23.0,61.0,,3.0,,4.0,2.0,4.0,,2.0,,,,,11.0,22.0,4.0,3.0,,4.0,,1.0,,,,,3.0,21.0,75.0,,12.0,9.0,19.0,10.0,1.0,2.0,2.0,4.0,,2.0,2.0,,8.0,7.0,,13.0,5.0,,,,2.0,4.0,2.0,9.0,18.0,,,2.0,,4.0,,,,1.0,7.0,5.0,,,4.0,29.0,,,,5.0,,6.0,5.0,,20.0,235.0,16.0,17.0,,,2.0,1.0,,,5.0,10.0,488.0,170.0,82.0,479.0,,,7.0,7.0,32.0,,22.0,,44.0,2.0,4.0,2.0,3.0,,,9.0,6.0,8.0,,,,,2541.0
Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Gillespie,,,,,,,1.0,,,,2.0,1.0,,,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,2.0,3.0,,,4.0,3.0,,,,,,,,1.0,,3.0,7.0,,4.0,5.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,5.0,,1.0,,,,,1.0,,,2.0,,,,3.0,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,3.0,,,,,1.0,,,,,,,1.0,,1.0,,3.0,4.0,,,,,,,,1.0,32.0,10.0,13.0,27.0,,,1.0,,3.0,,3.0,,1.0,,1.0,,,,,,2.0,1.0,,,,,170.0
Goliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0
Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,5.0,1.0,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,27.0
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,28.0
Grayson,,,,,1.0,1.0,2.0,,,,1.0,1.0,,2.0,5.0,,,2.0,,2.0,4.0,2.0,2.0,,,,,,,,,,5.0,,16.0,21.0,,1.0,23.0,18.0,,,,,2.0,1.0,,10.0,,4.0,11.0,1.0,20.0,23.0,,,,,1.0,2.0,,,,,,,5.0,3.0,,1.0,2.0,,1.0,,2.0,,,,1.0,9.0,22.0,,7.0,2.0,5.0,3.0,,2.0,,,,,,,4.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,,5.0,17.0,,,,2.0,,,1.0,,1.0,,4.0,1.0,,,,,,,2.0,6.0,142.0,36.0,10.0,109.0,,,,3.0,8.0,,3.0,,7.0,,,,1.0,,,1.0,1.0,2.0,,,,,623.0
Gregg,,,,,,,,,,,1.0,,,2.0,3.0,,,6.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,4.0,,5.0,10.0,,,9.0,8.0,,,,,1.0,,,2.0,,1.0,8.0,,6.0,17.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,15.0,15.0,,4.0,,5.0,1.0,,2.0,,,,,,,2.0,,,3.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,14.0,,,,6.0,,,,,,1.0,1.0,,6.0,,,2.0,,,2.0,,,1.0,,,70.0,24.0,11.0,63.0,,,1.0,,7.0,,5.0,,4.0,,1.0,1.0,,,,,2.0,5.0,,,,,371.0
Grimes,,,,,,1.0,,,,,,,1.0,1.0,,,,2.0,,3.0,,,,,,,,,,,,,1.0,,,4.0,,,2.0,,,,,,,,,,,,3.0,,1.0,3.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,7.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,3.0,,,,,,,,,1.0,,,1.0,,,,,,,,,12.0,5.0,4.0,16.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,82.0
Guadalupe,,1.0,1.0,,1.0,7.0,4.0,,3.0,,8.0,5.0,2.0,9.0,6.0,1.0,1.0,10.0,,2.0,3.0,4.0,1.0,,1.0,2.0,,,,,,,7.0,2.0,12.0,19.0,,,27.0,18.0,,,,,2.0,,1.0,3.0,,7.0,20.0,1.0,16.0,36.0,,,,,,,,,,,,,3.0,10.0,2.0,,1.0,2.0,1.0,1.0,,,,,1.0,8.0,27.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,7.0,1.0,,2.0,1.0,,,,,1.0,3.0,3.0,4.0,,1.0,1.0,,,,,,1.0,1.0,4.0,1.0,,2.0,20.0,,,,5.0,,3.0,,,2.0,,4.0,4.0,,,1.0,,,,1.0,4.0,243.0,58.0,33.0,225.0,,,1.0,5.0,15.0,,8.0,,12.0,1.0,2.0,,1.0,,1.0,1.0,3.0,5.0,,,,,1000.0
Hale,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,2.0,,,,,,,,,,1.0,9.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,2.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,43.0
Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0
Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,17.0
Hansford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0
Hardeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
Hardin,,,,,,,,,,,,,,3.0,3.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,1.0,2.0,,3.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,9.0,,3.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,29.0,3.0,4.0,16.0,,,,1.0,6.0,,3.0,,1.0,,,,,,,,1.0,1.0,,,,,113.0
Harris,23.0,44.0,7.0,4.0,46.0,165.0,139.0,1.0,150.0,9.0,325.0,116.0,87.0,242.0,220.0,24.0,44.0,404.0,19.0,157.0,170.0,340.0,54.0,35.0,90.0,225.0,,4.0,4.0,,10.0,38.0,276.0,8.0,545.0,659.0,14.0,21.0,531.0,423.0,1.0,1.0,,3.0,39.0,9.0,36.0,127.0,115.0,114.0,510.0,7.0,283.0,791.0,,2.0,,12.0,30.0,34.0,37.0,23.0,21.0,,,4.0,146.0,412.0,135.0,12.0,18.0,147.0,4.0,9.0,4.0,10.0,,,51.0,414.0,906.0,8.0,213.0,42.0,130.0,86.0,8.0,35.0,17.0,39.0,31.0,44.0,60.0,1.0,77.0,28.0,,106.0,77.0,1.0,,6.0,5.0,208.0,92.0,187.0,393.0,2.0,25.0,68.0,12.0,12.0,,4.0,1.0,21.0,80.0,63.0,12.0,,157.0,595.0,,,2.0,131.0,4.0,195.0,98.0,1.0,473.0,886.0,489.0,245.0,6.0,,17.0,1.0,,10.0,45.0,72.0,9177.0,2528.0,1720.0,8463.0,10.0,,83.0,71.0,343.0,2.0,213.0,,653.0,29.0,51.0,46.0,9.0,,8.0,121.0,192.0,351.0,,,,,39831.0
Harrison,,1.0,,,,1.0,,,,,,,,,1.0,,,3.0,,2.0,2.0,,,,,1.0,,,,,,,,1.0,,1.0,,,3.0,3.0,,,,,1.0,,,,,,3.0,,5.0,5.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,8.0,,,,,1.0,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,1.0,,,,,,,,,26.0,15.0,7.0,21.0,1.0,,1.0,1.0,6.0,,3.0,,1.0,,,,,,,,1.0,2.0,,,,,142.0
Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Haskell,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,7.0
Hays,3.0,6.0,,,3.0,14.0,19.0,,8.0,,22.0,6.0,7.0,19.0,23.0,,7.0,46.0,2.0,12.0,16.0,33.0,3.0,,4.0,10.0,,,2.0,,,1.0,16.0,1.0,47.0,67.0,,4.0,95.0,52.0,,,,2.0,3.0,,3.0,19.0,2.0,15.0,54.0,,40.0,87.0,,,,1.0,2.0,3.0,,,1.0,,,,24.0,42.0,10.0,,4.0,7.0,1.0,2.0,,,,,3.0,15.0,70.0,,20.0,1.0,15.0,19.0,2.0,7.0,5.0,4.0,,5.0,1.0,,9.0,6.0,,2.0,11.0,,,,1.0,8.0,6.0,2.0,6.0,,1.0,2.0,,1.0,,,,3.0,4.0,8.0,1.0,,8.0,74.0,,,,16.0,,7.0,3.0,,19.0,56.0,50.0,47.0,,,1.0,,,3.0,4.0,23.0,760.0,188.0,108.0,747.0,1.0,,6.0,11.0,47.0,1.0,31.0,,59.0,5.0,8.0,3.0,1.0,1.0,1.0,10.0,14.0,37.0,,,,,3458.0
Hemphill,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0
Henderson,1.0,,,,,,2.0,,,,1.0,,,2.0,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,3.0,,3.0,6.0,,,11.0,3.0,,,,,,,,4.0,,,5.0,,6.0,3.0,,,,1.0,,,,,,,,,5.0,,,,,,,1.0,,,,,,2.0,7.0,,1.0,,2.0,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,1.0,,1.0,,,1.0,,2.0,1.0,,,,,,,,,37.0,23.0,4.0,17.0,,,,,6.0,1.0,4.0,,4.0,,,,1.0,,,,1.0,1.0,,,,,190.0
Hidalgo,3.0,1.0,,,3.0,12.0,10.0,,8.0,1.0,12.0,4.0,1.0,31.0,19.0,3.0,1.0,27.0,4.0,8.0,9.0,32.0,4.0,,10.0,24.0,,,,,2.0,3.0,39.0,3.0,21.0,35.0,,2.0,42.0,44.0,,3.0,,,4.0,,1.0,11.0,4.0,16.0,75.0,1.0,15.0,98.0,1.0,,,2.0,2.0,17.0,,,1.0,,,,8.0,22.0,25.0,,,5.0,,,,,,1.0,2.0,108.0,223.0,,18.0,1.0,4.0,8.0,,1.0,1.0,3.0,5.0,5.0,13.0,,7.0,2.0,,7.0,6.0,,,2.0,,3.0,4.0,6.0,15.0,,1.0,7.0,,,,,,3.0,2.0,8.0,,,18.0,23.0,,,,2.0,,10.0,6.0,,15.0,,8.0,9.0,,,3.0,,,,2.0,5.0,636.0,114.0,107.0,537.0,,,6.0,7.0,28.0,,15.0,,31.0,,5.0,4.0,,,,3.0,13.0,26.0,,,,,2828.0
Hill,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,4.0,,,6.0,2.0,,,,,,1.0,,2.0,1.0,,,,3.0,4.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,2.0,6.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,4.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,19.0,3.0,3.0,11.0,,,,,6.0,,2.0,,,,,,,,,,,1.0,,,,,98.0
Hockley,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,23.0
Hood,,1.0,,,,1.0,3.0,,,,2.0,,1.0,2.0,3.0,,,7.0,1.0,1.0,3.0,4.0,1.0,,,1.0,,,,,,,3.0,1.0,3.0,12.0,,,8.0,5.0,,,,,3.0,,1.0,4.0,,5.0,5.0,,8.0,6.0,,,,,,1.0,,,,,,,,9.0,1.0,,,1.0,1.0,1.0,,,,,,3.0,20.0,,11.0,1.0,1.0,3.0,,1.0,,1.0,,1.0,1.0,,5.0,2.0,,,1.0,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,,3.0,10.0,,,,,,,,,1.0,,5.0,2.0,,,1.0,,,,,1.0,78.0,19.0,8.0,53.0,,,1.0,,6.0,,3.0,,3.0,,,,,,,2.0,5.0,5.0,1.0,,,,371.0
Hopkins,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,4.0,,,2.0,3.0,,,,,,,,,,1.0,1.0,,3.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,27.0,4.0,3.0,9.0,,,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,83.0
Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,15.0
Howard,,,,,,,,,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,1.0,,,1.0,,,,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,9.0,,,1.0,2.0,5.0,,,,,,,1.0,,,,,,1.0,,,,,56.0
Hudspeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Hunt,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,3.0,2.0,,,,,,,,,,,2.0,2.0,7.0,20.0,,1.0,20.0,7.0,,,,,1.0,,,3.0,1.0,2.0,5.0,,7.0,16.0,,,,,1.0,,,,,,,,2.0,2.0,1.0,,,1.0,,,,,,,,3.0,14.0,,,,2.0,2.0,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,1.0,6.0,,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,95.0,16.0,7.0,55.0,,,1.0,,12.0,,1.0,,5.0,1.0,,1.0,,,,,,,,,,,345.0
Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,19.0
Irion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Jack,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Jackson,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,13.0
Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,5.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,39.0
Jeff Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,13.0
Jefferson,,1.0,,,,3.0,3.0,,,,1.0,,,1.0,2.0,1.0,,10.0,,2.0,5.0,1.0,,1.0,2.0,2.0,,,,,,2.0,4.0,,23.0,9.0,,,14.0,15.0,,,,,2.0,1.0,,2.0,2.0,4.0,10.0,,7.0,5.0,,,,1.0,2.0,1.0,,,1.0,,,,3.0,3.0,,,,,,,,,,,1.0,5.0,13.0,,10.0,,3.0,,1.0,,,2.0,1.0,1.0,,,6.0,1.0,,1.0,,,,,,,1.0,3.0,7.0,,1.0,,,,,,,,,1.0,,,2.0,8.0,,,,,,,1.0,,,,6.0,2.0,,,,,,,1.0,,110.0,38.0,27.0,114.0,,,2.0,1.0,5.0,,4.0,1.0,5.0,,1.0,,1.0,,,2.0,2.0,2.0,,,,,539.0
Jim Hogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
Jim Wells,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,11.0,4.0,2.0,4.0,,,1.0,,,,,,4.0,,,,,,,,,,,,,,47.0
Johnson,,1.0,1.0,,,1.0,1.0,,1.0,,3.0,1.0,,4.0,4.0,,,4.0,,,1.0,5.0,,,2.0,2.0,,,,,,2.0,2.0,,4.0,13.0,,,28.0,14.0,,,,,5.0,,,10.0,2.0,7.0,19.0,,10.0,36.0,,,,1.0,1.0,1.0,,,,,,,4.0,11.0,5.0,,,,,,,,,,2.0,8.0,33.0,,13.0,,4.0,4.0,,,,1.0,,,1.0,,3.0,,,1.0,4.0,,,,1.0,4.0,1.0,2.0,2.0,,,2.0,1.0,,,,,1.0,1.0,5.0,1.0,,8.0,17.0,,,,1.0,,1.0,3.0,,6.0,9.0,6.0,7.0,1.0,,2.0,,,,1.0,5.0,240.0,45.0,32.0,129.0,,,1.0,1.0,13.0,,5.0,,15.0,,1.0,,,,,,4.0,4.0,,,,,858.0
Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,17.0
Karnes,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,20.0
